 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79
sorrow 2.94810667165e-102 4.55804071153e-102 3.96833582511e-102 6.60119042235e-102 1.00434693453e-101 5.46716805485e-102 7.66913900276e-102 2.97694556954e-102 1.5432078534e-102 2.70270277801e-102 5.88644071364e-102 2.0438348536e-102 8.71464778837e-102 3.44827586207e-102 2.74660966787e-102 2.33530440421e-102 9.0909090925e-102 1.36939710205e-102 7.43787855562e-102 3.65085931181e-102 1.01845533344e-102 5.03409901008e-102 1.11123116606e-101 3.84615384615e-102 2.37332271287e-102 5.51640551089e-102 1.00000000001e-101 7.06816639543e-102 1.42857168788e-102 1.70648356451e-102 0.0136939710205 4.11469901513e-102 5e-101 4.70404242246e-102 4.59731326866e-102 4.99999994326e-102 1.42857142857e-101 3.24334193608e-102 4.11230721221e-102 1.56249968836e-102 4.81562534374e-102 4.76474067444e-102 2.22222221412e-102 1.27840738892e-101 2.77895908843e-102 5.09750998557e-102 1.62018791167e-102 5.55083241881e-102 2.85589213679e-102 4.00000631361e-102 3.99989786524e-102 3.68249210071e-102 1.43663863507e-102 6.245264537e-102 1.11111111111e-101 5.38862680575e-102 4.57147516828e-102 7.14285714286e-102 3.07207573203e-102 2.01887047752e-101 5.57487674259e-102 1.11111111111e-101 1.8638872954e-102 3.62838555363e-102 1.84068478513e-102 2.1383025607e-102 5.55634524426e-102 1.72885795588e-102 4.42726988898e-102 3.19466007993e-102 4.99506587712e-102 1.77901467728e-102 2.76043453298e-102 3.33326382704e-102 3.44826377406e-102 6.25856748472e-102 5.45342143778e-102 9.096117777e-102 1.99750154823e-102 3.49149265231e-102
sound 2.94810667165e-102 4.55804071153e-102 3.96833582511e-102 6.60119042235e-102 1.00434693453e-101 5.53137765546e-102 7.66913900276e-102 2.97694556954e-102 1.5432078534e-102 0.0270270277801 5.88644071364e-102 2.0438348536e-102 8.71464778837e-102 3.44827586207e-102 2.74660966787e-102 2.33530440421e-102 9.0909090925e-102 1.36939710205e-102 7.43787855562e-102 3.65085931181e-102 1.01845533344e-102 5.03409901008e-102 1.11123116606e-101 3.84615384615e-102 2.37332271287e-102 5.51640551089e-102 1.00000000001e-101 7.06816639543e-102 1.42857168788e-102 1.70648356451e-102 1.36939710205e-102 4.11469901513e-102 5e-101 4.70404242246e-102 4.59731326866e-102 4.99999994326e-102 1.42857142857e-101 3.24334193608e-102 4.11230721221e-102 1.56249968836e-102 4.81562534374e-102 4.76474067444e-102 2.22222221412e-102 1.27840738892e-101 2.77895908843e-102 5.09750998557e-102 1.62018791167e-102 5.55083241881e-102 2.85589213679e-102 4.00000631361e-102 3.99989786524e-102 3.68249210071e-102 1.43663863507e-102 2.57761415736e-74 9.30881833619e-76 5.38862680575e-102 4.57147516828e-102 7.14285714286e-102 3.07207573203e-102 2.01887047752e-101 5.57487674259e-102 1.11111111111e-101 1.8638872954e-102 3.62838555363e-102 1.84068478513e-102 2.1383025607e-102 5.55634524426e-102 1.72885795588e-102 4.42726988898e-102 3.19466007993e-102 4.99506587712e-102 1.77901467728e-102 2.76043453298e-102 3.33326382704e-102 3.44826377406e-102 6.25856748472e-102 5.45342143778e-102 9.096117777e-102 1.99750154823e-102 3.49149265231e-102
soundless 2.94810667165e-102 4.55804071153e-102 3.96833582511e-102 6.60119042235e-102 1.00434693453e-101 5.46716805485e-102 7.66913900276e-102 2.97694556954e-102 1.5432078534e-102 2.70270277801e-102 5.88644071364e-102 2.0438348536e-102 8.71464778837e-102 3.44827586207e-102 2.74660966787e-102 2.33530440421e-102 9.0909090925e-102 1.36939710205e-102 7.43787855562e-102 3.65085931181e-102 1.01845533344e-102 5.03409901008e-102 1.11123116606e-101 3.84615384615e-102 2.37332271287e-102 5.51640551089e-102 1.00000000001e-101 7.06816639543e-102 1.42857168788e-102 1.70648356451e-102 1.36939710205e-102 4.11469901513e-102 5e-101 4.70404242246e-102 4.59731326866e-102 4.99999994326e-102 1.42857142857e-101 3.24334193608e-102 4.11230721221e-102 1.56249968836e-102 4.81562534374e-102 4.76474067444e-102 2.22222221412e-102 1.27840738892e-101 2.77895908843e-102 5.09750998557e-102 1.62018791167e-102 5.55083241881e-102 2.85589213679e-102 4.00000631361e-102 3.99989786524e-102 3.68249210071e-102 1.43663863507e-102 6.245264537e-102 1.11111111111e-101 5.38862680575e-102 4.57147516828e-102 7.14285714286e-102 3.07207573203e-102 2.01887047752e-101 5.57487674259e-102 1.11111111111e-101 1.8638872954e-102 3.62838555363e-102 1.84068478513e-102 2.1383025607e-102 5.55634524426e-102 1.72885795588e-102 4.42726988898e-102 3.19466007993e-102 4.99506587712e-102 1.77901467728e-102 2.76043453298e-102 0.0333326382704 3.44826377406e-102 6.25856748472e-102 5.45342143778e-102 9.096117777e-102 1.99750154823e-102 3.49149265231e-102
sour 2.94810667165e-102 4.55804071153e-102 3.96833582713e-102 6.60119042235e-102 1.00434693453e-101 5.46716805485e-102 7.66913900276e-102 2.97694556954e-102 1.5432078534e-102 2.70270277801e-102 5.88644071364e-102 2.0438348536e-102 8.71464778837e-102 3.44827586207e-102 2.74660966787e-102 2.33530440421e-102 9.0909090925e-102 1.36939710205e-102 7.43787855562e-102 3.65085931181e-102 1.01845533344e-102 5.03409901008e-102 1.11123116606e-101 3.84615384615e-102 2.37332271287e-102 5.51640551089e-102 1.00000000001e-101 7.06816639543e-102 1.42857168788e-102 1.70648356451e-102 1.36939710205e-102 4.11469901513e-102 5e-101 4.70404242246e-102 4.59731326866e-102 4.99999994326e-102 1.42857142857e-101 3.24334193608e-102 4.11230721221e-102 1.56249968836e-102 4.81562534374e-102 4.76474067444e-102 2.22222221412e-102 1.27840738892e-101 0.0277895908843 5.09750998557e-102 1.62018791167e-102 5.55083241881e-102 2.85589213679e-102 4.00000631361e-102 3.99989786524e-102 3.68249210071e-102 1.43663863507e-102 6.245264537e-102 1.11111111111e-101 5.38862680575e-102 4.57147516828e-102 7.14285714286e-102 3.07207573203e-102 2.01887047752e-101 5.57487674259e-102 1.11111111111e-101 1.8638872954e-102 3.62838555363e-102 1.84068478513e-102 2.1383025607e-102 5.55634524426e-102 1.72885795588e-102 4.42726988898e-102 3.19466007993e-102 4.99506587712e-102 1.77901467728e-102 2.76043453298e-102 3.33326382704e-102 3.44826377406e-102 6.25856748472e-102 5.45342143778e-102 9.096117777e-102 1.99750154823e-102 3.49149265231e-102
sparkling 2.94810667165e-102 4.55804071153e-102 3.96833582511e-102 6.60119042235e-102 1.00434693453e-101 5.46716805485e-102 7.66913900276e-102 2.97694556954e-102 1.5432078534e-102 2.70270277801e-102 5.88644071364e-102 2.0438348536e-102 8.71464778837e-102 3.44827586207e-102 2.74660966787e-102 1.21132598688e-43 9.0909090925e-102 1.36939710205e-102 7.43787855562e-102 3.65085931181e-102 1.01845533344e-102 5.03409901008e-102 1.11123116606e-101 3.84615384615e-102 2.37332271287e-102 5.51640551089e-102 1.00000000001e-101 7.06816639543e-102 1.42857168788e-102 1.70648356451e-102 1.36939710205e-102 4.11469901513e-102 5e-101 4.70404242246e-102 4.59731326866e-102 4.99999994326e-102 1.42857142857e-101 3.24334193608e-102 4.11230721221e-102 1.56249968836e-102 4.81562534374e-102 4.76474067444e-102 2.22222221412e-102 1.27840738892e-101 2.77895908843e-102 5.09750998557e-102 1.62018791167e-102 5.55083241881e-102 2.85589213679e-102 4.00000631361e-102 3.99989786524e-102 3.68249210071e-102 1.43663863507e-102 6.245264537e-102 1.11111111111e-101 5.38862680575e-102 4.57147516828e-102 7.14285714286e-102 3.07207573203e-102 2.01887047752e-101 5.57487674259e-102 1.11111111111e-101 0.018638872954 3.62838555363e-102 1.84068478513e-102 2.1383025607e-102 5.55634524426e-102 1.72885795588e-102 4.42726988898e-102 3.19466007993e-102 4.99506587712e-102 1.77901467728e-102 2.76043453298e-102 3.33326382704e-102 3.44826377406e-102 6.25856748472e-102 5.45342143778e-102 9.096117777e-102 1.99750154823e-102 3.49149265231e-102
speak 2.94810667165e-102 4.55804071153e-102 3.96833582511e-102 6.60119042235e-102 1.00434693453e-101 5.46716805485e-102 7.66913900276e-102 2.97694556954e-102 1.5432078534e-102 2.70270277801e-102 5.88644071364e-102 2.0438348536e-102 8.71464778837e-102 3.44827586207e-102 2.74660966787e-102 2.33530440421e-102 9.0909090925e-102 1.36939710205e-102 7.43787855562e-102 3.65085931181e-102 1.01845533344e-102 5.03409901008e-102 1.11123116606e-101 3.84615384615e-102 2.37332271287e-102 5.51640551089e-102 1.00000000001e-101 7.06816639543e-102 1.42857168788e-102 1.70648356451e-102 1.36939710205e-102 4.11872400461e-102 5e-101 4.70404242246e-102 4.59731326866e-102 4.99999994326e-102 1.42857142857e-101 3.24334193608e-102 4.11230721221e-102 1.56249968836e-102 4.81562534374e-102 4.76474067444e-102 2.22222221412e-102 1.27840738892e-101 2.77895908843e-102 5.09750998557e-102 1.62018791167e-102 5.55083241881e-102 2.85589213679e-102 4.00000631361e-102 3.99989786524e-102 3.68249210071e-102 1.43663863507e-102 6.245264537e-102 1.11111111111e-101 5.38862680575e-102 4.57147516828e-102 7.14285714286e-102 2.43722892896e-75 2.01887047752e-101 5.57487674259e-102 1.11111111111e-101 1.8638872954e-102 3.62838555363e-102 1.84068478513e-102 0.042766051214 5.55634524426e-102 1.72885795588e-102 5.05573964107e-38 3.19466007993e-102 4.99506587712e-102 1.77901467728e-102 2.76043453298e-102 3.33326382704e-102 3.44826377406e-102 6.25856748472e-102 5.45342143778e-102 9.096117777e-102 1.99750154823e-102 3.49149265231e-102
speaking 2.94810667165e-102 4.55804071153e-102 3.96833582511e-102 6.60119042235e-102 1.00434693453e-101 5.46716805485e-102 7.66913900276e-102 2.97694556954e-102 1.5432078534e-102 2.70270277801e-102 5.88644071364e-102 2.0438348536e-102 8.71464778837e-102 3.44827586207e-102 2.74660966787e-102 2.33530440421e-102 9.0909090925e-102 1.36939710205e-102 7.43787855562e-102 3.65085931181e-102 1.01845533344e-102 5.03409901008e-102 1.11123116606e-101 3.84615384615e-102 2.37332271287e-102 5.51640551089e-102 1.00000000001e-101 7.06816639543e-102 1.42857168788e-102 1.70648356451e-102 0.0136939710205 4.11469901513e-102 5e-101 4.70404242246e-102 4.59731326866e-102 4.99999994326e-102 1.42857142857e-101 3.24334193608e-102 4.11230721221e-102 1.56249968836e-102 4.81562534374e-102 4.76474067444e-102 2.22222221412e-102 1.27840738892e-101 2.77895908843e-102 5.09750998557e-102 1.62018791167e-102 5.55083241881e-102 2.85589213679e-102 4.00000631361e-102 3.99989786524e-102 3.68249210071e-102 1.43663863507e-102 6.245264537e-102 1.11111111111e-101 5.38862680575e-102 4.57147516828e-102 7.14285714286e-102 3.07207573203e-102 2.01887047752e-101 5.57487674259e-102 1.11111111111e-101 1.8638872954e-102 3.62838555363e-102 1.84068478513e-102 2.1383025607e-102 5.55634524426e-102 1.72885795588e-102 4.42726988898e-102 3.19466007993e-102 4.99506587712e-102 1.77901467728e-102 2.76043453298e-102 3.33326382704e-102 3.44826377406e-102 6.25856748472e-102 5.45342143778e-102 9.096117777e-102 1.99750154823e-102 3.49149265231e-102
speechless 2.94810667165e-102 4.55804071153e-102 3.96833582511e-102 6.60119042235e-102 1.00434693453e-101 5.46716805485e-102 7.66913900276e-102 2.97694556954e-102 1.5432078534e-102 2.70270277801e-102 5.88644071364e-102 2.0438348536e-102 8.71464778837e-102 3.44827586207e-102 2.74660966787e-102 2.33530440421e-102 9.0909090925e-102 1.36939710205e-102 7.43787855562e-102 3.65085931181e-102 1.01845533344e-102 5.03409901008e-102 1.11123116606e-101 3.84615384615e-102 2.37332271287e-102 5.51640551089e-102 1.00000000001e-101 7.06816639543e-102 1.42857168788e-102 1.70648356451e-102 1.36939710205e-102 4.11469901513e-102 5e-101 4.70404242246e-102 4.59731326866e-102 4.99999994326e-102 1.42857142857e-101 3.24334193608e-102 4.11230721221e-102 1.56249968836e-102 4.81562534374e-102 4.76474067444e-102 2.22222221412e-102 1.27840738892e-101 2.77895908843e-102 5.09750998557e-102 1.62018791167e-102 5.55083241881e-102 2.85589213679e-102 4.00000631361e-102 3.99989786524e-102 3.68249210071e-102 1.43663863507e-102 6.245264537e-102 1.11111111111e-101 5.38862680575e-102 4.57147516828e-102 7.14285714286e-102 3.07207573203e-102 2.01887047752e-101 5.57487674259e-102 1.11111111111e-101 1.8638872954e-102 3.62838555363e-102 1.84068478513e-102 2.1383025607e-102 5.55634524426e-102 1.72885795588e-102 4.42726988898e-102 0.0319466007993 4.99506587712e-102 1.77901467728e-102 2.76043453298e-102 3.33326382704e-102 3.44826377406e-102 6.25856748472e-102 5.45342143778e-102 9.096117777e-102 1.99750154823e-102 3.49149265231e-102
spending 2.94810667165e-102 4.55804071153e-102 3.96833582511e-102 6.60119042235e-102 1.00434693453e-101 5.46716805485e-102 7.66913900276e-102 2.97694556954e-102 0.015432078534 2.70270277801e-102 5.88644071364e-102 2.0438348536e-102 8.71464778837e-102 3.44827586207e-102 2.74660966787e-102 2.33530440421e-102 9.0909090925e-102 1.36939710205e-102 7.43787855562e-102 3.65085931181e-102 1.01845533344e-102 5.03409901008e-102 1.11123116606e-101 3.84615384615e-102 2.37332271287e-102 5.51640551089e-102 1.00000000001e-101 7.06816639543e-102 1.42857168788e-102 1.70648356451e-102 1.36939710205e-102 4.11469901513e-102 5e-101 4.70404242246e-102 4.59731326866e-102 4.99999994326e-102 1.42857142857e-101 3.24334193608e-102 4.11230721221e-102 1.56249968836e-102 4.81562534374e-102 4.76474067444e-102 2.22222221412e-102 1.27840738892e-101 2.77895908843e-102 5.09750998557e-102 1.62018791167e-102 5.55083241881e-102 2.85589213679e-102 4.00000631361e-102 3.99989786524e-102 3.68249210071e-102 6.81368115124e-34 6.245264537e-102 1.11111111111e-101 5.38862680575e-102 4.57147516828e-102 7.14285714286e-102 3.07207573203e-102 2.01887047752e-101 5.57487674259e-102 1.11111111111e-101 1.8638872954e-102 3.62838555363e-102 1.84068478513e-102 2.1383025607e-102 5.55634524426e-102 1.72885795588e-102 4.42726988898e-102 3.19466007993e-102 4.99506587712e-102 1.77901467728e-102 2.76043453298e-102 3.33326382704e-102 3.44826377406e-102 6.25856748472e-102 5.45342143778e-102 9.096117777e-102 1.99750154823e-102 3.49149265231e-102
spent 2.94810667165e-102 4.55804071153e-102 3.96833582511e-102 6.60119042235e-102 1.00434693453e-101 5.46716805485e-102 7.66913900276e-102 2.97694556954e-102 1.5432078534e-102 2.70270277801e-102 5.88644071364e-102 2.0438348536e-102 8.71464778837e-102 3.44827586207e-102 2.74660966787e-102 2.33530440421e-102 9.0909090925e-102 0.0136939710205 7.43787855562e-102 3.65085931181e-102 1.01845533344e-102 5.03409901008e-102 1.11123116606e-101 3.84615384615e-102 2.37332271287e-102 5.51640551089e-102 1.00000000001e-101 7.06816639543e-102 1.42857168788e-102 1.70648356451e-102 1.36939710205e-102 4.11469901513e-102 5e-101 4.70404242246e-102 4.59731326866e-102 4.99999994326e-102 1.42857142857e-101 3.24334193608e-102 4.11230721221e-102 1.56249968836e-102 4.81562534374e-102 4.76474067444e-102 2.22222221412e-102 1.27840738892e-101 2.77895908843e-102 5.09750998557e-102 1.62018791167e-102 5.55083241881e-102 2.85589213679e-102 4.00000631361e-102 3.99989786524e-102 3.68249210071e-102 1.43663863507e-102 6.245264537e-102 1.11111111111e-101 5.38862680575e-102 4.57147516828e-102 7.14285714286e-102 3.07207573203e-102 2.01887047752e-101 5.57487674259e-102 1.11111111111e-101 1.8638872954e-102 3.62838555363e-102 1.84068478513e-102 2.1383025607e-102 5.55634524426e-102 1.72885795588e-102 4.42726988898e-102 3.19466007993e-102 4.99506587712e-102 1.77901467728e-102 2.76043453298e-102 3.33326382704e-102 3.44826377406e-102 6.25856748472e-102 5.45342143778e-102 9.096117777e-102 1.99750154823e-102 3.49149265231e-102
spite 2.94810667165e-102 4.55804071153e-102 3.96833582511e-102 6.60119042235e-102 1.00434693453e-101 5.46716805485e-102 7.66913900276e-102 0.0291436551316 1.5432078534e-102 2.70270277801e-102 5.88644071364e-102 2.0438348536e-102 8.71464778837e-102 3.44827586207e-102 0.000577380351288 2.33530440421e-102 9.0909090925e-102 1.36939710205e-102 7.43787855562e-102 3.65085931181e-102 1.01845533344e-102 5.03409901008e-102 1.11123116606e-101 3.84615384615e-102 2.37332271287e-102 5.51640551089e-102 1.00000000001e-101 7.06816639543e-102 1.42857168788e-102 1.70648356451e-102 1.36939710205e-102 4.11469901513e-102 5e-101 4.70404242246e-102 4.59731326866e-102 4.99999994326e-102 1.42857142857e-101 3.24334193608e-102 4.11230721221e-102 1.56249968836e-102 4.81562534374e-102 4.76474067444e-102 2.22222221412e-102 1.27840738892e-101 2.77895908843e-102 5.09750998557e-102 1.62018791167e-102 5.55083241881e-102 2.85589213679e-102 4.00000631361e-102 3.99989786524e-102 3.68249210071e-102 1.43663863507e-102 6.245264537e-102 1.11111111111e-101 5.38862680575e-102 4.57147516828e-102 7.14285714286e-102 3.07207573203e-102 2.01887047752e-101 5.57487674259e-102 1.11111111111e-101 1.8638872954e-102 3.62838555363e-102 1.84068478513e-102 2.1383025607e-102 5.55634524426e-102 1.72885795588e-102 4.42726988898e-102 3.19466007993e-102 4.99506587712e-102 1.77901467728e-102 2.76043453298e-102 3.33326382704e-102 3.44826377406e-102 6.25856748472e-102 5.45342143778e-102 9.096117777e-102 1.99750154823e-102 3.49149265231e-102
splendour 2.94810667165e-102 4.55804071153e-102 3.96833582511e-102 6.60119042235e-102 1.00434693453e-101 5.46716805485e-102 7.66913900276e-102 2.97694556954e-102 1.5432078534e-102 2.70270277801e-102 5.88644071364e-102 2.0438348536e-102 8.71464778837e-102 3.44827586207e-102 2.74660966787e-102 2.33530440421e-102 9.0909090925e-102 1.36939710205e-102 7.43787855562e-102 3.65085931181e-102 1.01845533344e-102 5.03409901008e-102 1.11123116606e-101 3.84615384615e-102 2.37332271287e-102 5.51640551089e-102 1.00000000001e-101 7.06816639543e-102 1.42857168788e-102 1.70648356451e-102 1.36939710205e-102 4.11469901513e-102 5e-101 4.70404242246e-102 4.59731326866e-102 4.99999994326e-102 1.42857142857e-101 3.24334193608e-102 4.11230721221e-102 0.0156249968836 4.81562534374e-102 4.76474067444e-102 2.22222221412e-102 1.27840738892e-101 2.77895908843e-102 5.09750998557e-102 1.62018791167e-102 5.55083241881e-102 2.85589213679e-102 4.00000631361e-102 3.99989786524e-102 3.68249210071e-102 1.43663863507e-102 6.245264537e-102 1.11111111111e-101 5.38862680575e-102 4.57147516828e-102 7.14285714286e-102 3.07207573203e-102 2.01887047752e-101 5.57487674259e-102 1.11111111111e-101 1.8638872954e-102 3.62838555363e-102 1.84068478513e-102 2.1383025607e-102 5.55634524426e-102 1.72885795588e-102 4.42726988898e-102 3.19466007993e-102 4.99506587712e-102 1.77901467728e-102 2.76043453298e-102 3.33326382704e-102 3.44826377406e-102 6.25856748472e-102 5.45342143778e-102 9.096117777e-102 1.99750154823e-102 3.49149265231e-102
spoil 2.94810667165e-102 4.55804071153e-102 3.96833582511e-102 6.60119042235e-102 1.00434693453e-101 5.46716805485e-102 7.66913900276e-102 2.97694556954e-102 1.5432078534e-102 2.70270277801e-102 5.88644071364e-102 2.0438348536e-102 8.71464778837e-102 3.44827586207e-102 2.74660966787e-102 2.33530440421e-102 9.0909090925e-102 1.36939710205e-102 7.43787855562e-102 3.65085931181e-102 1.01845533344e-102 5.03409901008e-102 1.11123116606e-101 3.84615384615e-102 2.37332271287e-102 5.51640551089e-102 1.00000000001e-101 7.06816639543e-102 1.42857168788e-102 1.70648356451e-102 1.36939710205e-102 4.11469901513e-102 5e-101 4.70404242246e-102 4.59731326866e-102 4.99999994326e-102 1.42857142857e-101 3.24334193608e-102 4.11230721221e-102 0.0156249968836 4.81562534374e-102 4.76474067444e-102 2.22222221412e-102 1.27840738892e-101 2.77895908843e-102 5.09750998557e-102 1.62018791167e-102 5.55083241881e-102 2.85589213679e-102 4.00000631361e-102 3.99989786524e-102 3.68249210071e-102 1.43663863507e-102 6.245264537e-102 1.11111111111e-101 5.38862680575e-102 4.57147516828e-102 7.14285714286e-102 3.07207573203e-102 2.01887047752e-101 5.57487674259e-102 1.11111111111e-101 1.8638872954e-102 3.62838555363e-102 1.84068478513e-102 2.1383025607e-102 5.55634524426e-102 1.72885795588e-102 4.42726988898e-102 3.19466007993e-102 4.99506587712e-102 1.77901467728e-102 2.76043453298e-102 3.3351176378e-102 3.44826377406e-102 6.25856748472e-102 5.45342143778e-102 9.096117777e-102 1.99750154823e-102 3.49149265231e-102
